RDM;CIB;LC;CT;IRR
2017_AF_OAF_POINT_110;2017_AF_OAF_POINT_110 ;89.2;85.7;0
2017_AR_LISTA-01_POLY_110;2017_AR_LISTA_POLY_110;93;93;0
2017_AS_Remelgado_POLY_111;2017_AS_Remelgado_POLY_111;98;98;98
2017_AT_OpenDataAustria_POLY_110;2017_AT_LPIS_POLY_110;100;94;0
2017_BE_Flanders_full_POLY_110;2017_BE_LPIS-Flanders_POLY_110;100;94;0
2017_BF_JECAM_CIRAD_POLY_111;2017_BF_JECAM-CIRAD_POLY_111;98;98;98
2017_CAN_AAFC-ACIGTD_POINT_110;2017_CAN_AAFC-ACIGTD_POINT_110 ;98;98;0
2017_CM_GARDIAN-62_POINT_110;2017_CM_GARDIAN_POINT_110;98;98;0
2017_FR_IGN-RPG_POLY_110;2017_FR_LPIS_POLY_110;100;94;0
2017_LBN_WAPOR_1_POLY_111;2017_LBN_Rayak_POLY_111;93;93;93
2017_LBN_WAPOR_2_POLY_111;2017_LBN_Rayak_POLY_111;93;93;93
2017_LBN_WAPOR_3_POLY_111;2017_LBN_WAPOR-3_POLY_111;93;93;93
2017_LBN_WAPOR_4_POLY_111;2017_LBN_WAPOR-4_POLY_111;93;93;93
2017_NG_GARDIAN-85_POINT_110;2017_NG_GARDIAN_POINT_110;93;93;0
2017_SS_ARABLE-LAND-2020_POLY_111;2017_SS_ARABLE-LAND_POLY_111;98;80.5;80.5
2017_SS_OTHER-LAND-USE-2020_POINT_100;2017_SS_OTHER-LAND-USE_POINT_100;98;0;0
2017_SS_OTHER-LAND-USE-2020_POLY_100;2017_SS_OTHER-LAND-USE_POLY_100;98;0;0
2017_UG_RadiantEarth-01_POLY_110;2017_UG_RadiantEarth-01_POLY_110;98;80.5;0
2018_AF_OAF_POINT_110;2018_AF_OAF_POINT_110;89.2;85.7;0
2018_AR_BAGE-01_POLY_110;2018_AR_BAGE-01_POLY_110;93;93;0
2018_AS_Remelgado_POLY_111;2018_AS_Remelgado_POLY_111;98;98;98
2018_AT_OpenDataAustria_POLY_110;2018_AT_LPIS_POLY_110;100;94;0
2018_BE_Flanders_full_POLY_110;2018_BE_LPIS-Flanders_POLY_110;100;94;0
;2018_BE_LPIS-Flanders-veggies_POLY_110;100;94;0
2018_BF_JECAM_CIRAD_POLY_111;2018_BF_JECAM-CIRAD_POLY_111;98;98;98
2018_CAN_AAFC-ACIGTD_POINT_110;2018_CAN_AAFC-ACIGTD_POINT_110;98;98;0
2018_ES_AND_SIGPAC_POLY_111;2018_ES_SIGPAC-Andalucia_POLY_111;100;94;94
2018_ETH_WAPOR_2_POLY_111;2018_ETH_WAPOR-2_POLY_111;93;93;93
2018_ETH_WAPOR_1_POLY_111;2018_ETH_WAPOR-Koga_POLY_111;93;93;93
2018_EU_LUCAS2018_POLY_110;2018_EU_LUCAS_POINT_110;98;98;0
2018_FR_IGN-RPG_POLY_110.xlsx;2018_FR_LPIS_POLY_110;100;94;0
2018_IN_GARDIAN-29_POINT_110;2018_IN_GARDIAN_POINT_110;98;94.5;0
2018_MG_JECAM_CIRAD_POLY_111;2018_MG_JECAM-CIRAD_POLY_111;98;98;98
2018_MLI_NHI-CROP-HARVEST_POLY_110;2018_MLI_NHI-CROP-HARVEST_POLY_110;93;86;0
2018_MWI_WFP_POLY_110;2018_MWI_WFP_POLY_110;98;91;0
2018_NER_WAPOR_1_POLY_111;2018_NER_WAPOR_POLY_111;93;93;93
2018_SN_JECAM_CIRAD_POLY_111;2018_SN_JECAM-CIRAD_POLY_111;98;98;98
2018_SSD_WFP_POLY_110;2018_SSD_WFP_POLY_110;98;94.5;0
2018_TZ_AFSIS_POINT_110;2018_TZ_AFSIS_POINT_110;98;98;0
2018_TZ_RadiantEarth-01_POLY_110;2018_TZ_RadiantEarth-01_POLY_110;98;98;0
2018_UA_NHI-01_POINT_110;2018_UA_NHI_POINT_110;93;86;0
2018_UGA_WFP_POLY_110;2018_UGA_WFP_POLY_110;98;94.5;0
2019_AF_NHI-CROP-HARVEST_POLY_100;2019_AF_NHI-CROP-HARVEST_POLY_100;89.2;0;0
2019_AF_OAF_POINT_110;2019_AF_OAF_POINT_110;89.2;85.7;0
2019_AR_BAGE-01_POLY_110;2019_AR_BAGE-01_POLY_110;93;93;0
2019_ARG_INTA-BA_POLY_110;2019_ARG_INTA-BA_POLY_110;98;94.5;0
2019_AT_OpenDataAustria_POLY_110;2019_AT_LPIS_POLY_110;100;94;0
2019_BE_Flanders_full_POLY_110;2019_BE_LPIS-Flanders_POLY_110;100;94;0
2019_CAN_AAFC-ACIGTD_POINT_110;2019_CAN_AAFC-ACIGTD_POINT_110;98;98;0
2019_EG_WAPOR_1_POLY_111;2019_EG_WAPOR-1_POLY_111;93;93;93
2019_EG_WAPOR_2_POLY_111;2019_EG_WAPOR-2_POLY_111;93;93;93
2019_ES_AND_SIGPAC_POLY_111;2019_ES_SIGPAC-Andalucia_POLY_111;100;94;94
2019_ES_SIGPAC-Catalunya-2019_POLY_111;2019_ES_SIGPAC-Catalunya_POLY_111;100;94;94
2019_FR_IGN-RPG_POLY_110.xlsx;2019_FR_LPIS_POLY_110;100;94;0
;2019_GLO_irr-eleaf_POLY_101;100;0;100
2019_IRQ_WFP_POLY_111;2019_IRQ_WFP_POLY_111;98;94.5;94.5
2019_KE_RadiantEarth-01_POLY_111;2019_KE_RadiantEarth-01_POLY_111;98;98;98
2019_KEN_NHI-CROP-HARVEST_POINT_100;2019_KEN_NHI-CROP-HARVEST_POINT_100;93;0;0
2019_KEN_WAPOR_1_POLY_111;2019_KEN_WAPOR_POLY_111;93;93;93
2019_LV_full_POLY_110;2019_LV_LPIS_POLY_110;100;94;0
2019_MA_WAPOR_POLY_111;2019_MA_WAPOR_POLY_111;93;93;93
2019_MG_JECAM_CIRAD_POLY_111;2019_MG_JECAM-CIRAD_POLY_111;98;98;98
2019_MLI_NHI-CROP-HARVEST_POLY_110;2019_MLI_NHI-CROP-HARVEST_POLY_110;93;86;0
2019_SN_JECAM_CIRAD_POLY_111;2019_SN_JECAM-CIRAD_POLY_111;98;98;98
2019_TZ_AFSIS_POINT_110;2019_TZ_AFSIS_POINT_110;98;98;0
2019_TZA_CIMMYT-DM1_POINT_110;2019_TZA_CIMMYT-DM1_POINT_110;65;65;0
2019_TZA_CIMMYT-DM2_POINT_110;2019_TZA_CIMMYT-DM2_POINT_110;89;89;0
;2019_TZA_EXTRAPOINTS_POINT_100;100;0;0
2019_TZA_OAF_POINT_110;2019_TZA_OAF_POINT_110;89;85.5;0
2019_UA_ARABLE-LAND-2020_POLY_110;2019_UA_ARABLE-LAND_POLY_110;98;91;0
2019_UA_NHI-01_POINT_110;2019_UA_NHI_POINT_110;93;86;0
2019_UA_OTHER-LAND-USE-2020_POLY_100;2019_UA_OTHER-LAND-USE_POLY_100;98;0;0
2019_US_USDA2019cdls_POINT_110;2019_US_USDA-CDL_MAP_110;78.5;66;0
2020_AR_BAGE-01_POLY_110;2020_AR_BAGE-01_POLY_110;93;93;0
2020_AT_LPIS_POLY_110;2020_AT_LPIS_POLY_110;100;94;0
2020_BR_LEM-MAR_POLY_110;2020_BR_LEM-MAR_POLY_110;98;98;0
2020_CAN_AAFC-ACIGTD_POINT_110;2020_CAN_AAFC-ACIGTD_POINT_110;98;98;0
;2020_CHN_sw-valencia_POINT_110;100;94.5;0
2020_ETH_NHI-CROP-HARVEST_POLY_100;2020_ETH_NHI-CROP-HARVEST_POLY_100;77.8;0;0
;2020_GLO_ewoco-asc_POINT_100;80.5;0;0
;2020_GLO_ewoco-desc_POINT_100;80.5;0;0
;2020_GLO_NONCROP_POLY_100;100;0;0
2020_GO_NHI-CROP-HARVEST_POINT_100;2020_GO_NHI-CROP-HARVEST_POINT_100;93;0;0
2020_MOZ_WFP_POLY_111;2020_MOZ_WFP_POLY_111;98;94.5;94.5
2020_NGA_WFP_POLY_111;2020_NGA_WFP_POLY_111;98;94.5;94.5
;2020_RUS_sw-valencia_POINT_110;100;94.5;0
2020_RW_WAPOR_1_POINT_111;2020_RW_WAPOR-Muvu_POINT_111;93;93;93
2020_RW_WAPOR_2_POINT_111;2020_RW_WAPOR-Ya_POINT_111;93;93;93
2020_RWA_WAPOR-Akagera_POINT_111;2020_RWA_WAPOR-Akagera_POINT_111;93;93;93
2020_SDN_WAPOR_1_POLY_110;2020_SDN_WAPOR_POLY_110;93;93;93
2020_SDN_WAPOR_2_POLY_111;2020_SDN_WAPOR-2_POLY_111;93;93;93
;2020_TZA_EXTRAPOINTS_POINT_100;100;0;0
;2021_TZA_EXTRAPOINTS_POINT_100;100;0;0
2020_ZWE_NHI-CROP-HARVEST_POINT_110;2020_ZWE_NHI-CROP-HARVEST_POINT_110;93;86;0
2021_AT_LPIS_POLY_110;2021_AT_LPIS_POLY_110;100;94;0
2021_BE_Flanders_full_POLY_110;2021_BE_LPIS-Flanders_POLY_110;100;94;0
;2021_GLO_irr-eleaf-asc_POLY_101;100;0;100
;2021_GLO_irr-eleaf-desc_POLY_101;100;0;100
;2021_GLO_nat-eleaf-asc_POLY_101;100;0;100
;2021_GLO_nat-eleaf-desc_POLY_101;100;0;100
2021_LV_LPIS_POLY_110;2021_LV_LPIS_POLY_110;100;94;0
2021_MOZ_WAPOR_1_POLY_111;2021_MOZ_WAPOR_POLY_111;93;93;93
2021_MOZ_WFP_POLY_111;2021_MOZ_WFP_POLY_111;98;94.5;94.5
2021_RWA_WAPOR-Akagera_POLY_111;2021_RWA_WAPOR-Akagera_POLY_111;93;93;93
2021_RWA_WAPOR-Muvu_POLY_111;2021_RWA_WAPOR-Muvu_POLY_111;93;93;93
2021_RWA_WAPOR-Yan_POLY_111;2021_RWA_WAPOR-Yan_POLY_111;93;93;93
2021_SEN_WAPOR-1_POLY_111;2021_SEN_WAPOR-1_POLY_111;93;93;93
2021_SEN_WAPOR-2_POLY_111;2021_SEN_WAPOR-2_POLY_111;93;93;93
2021_LKA_WAPOR-1_POLY_111;2021_SRI_frame_POLY_111;93;93;93
2021_LKA_WAPOR-2_POLY_111;2021_SRI_frame-yala_POLY_111;93;93;93
2021_TZA_COPERNICUS-GEOGLAM_POLY_110;2021_TZA_COPERNICUS-GEOGLAM_POLY_110;98;98;0
2019_ESP_ESYRCE_POLY_111;2019_ESP_ESYRCE_POLY_111;98;98;98
2020_ESP_ESYRCE_POLY_111;2020_ESP_ESYRCE_POLY_111;98;98;98
2021_ESP_ESYRCE_POLY_111;2021_ESP_ESYRCE_POLY_111;98;98;98
2020_FR_LPIS_POLY_110;2020_FR_LPIS_POLY_110;100;94;0
2019_KE_RadiantEarth-01_POLY_101;;98;0;98
2016_AS_Remelgado_POLY_111;;98;98;98
2016_AT_OpenDataAustria_POLY_110;;100;94;0
2016_BF_JECAM_CIRAD_POLY_111;;98;98;98
2016_BR_JECAM_CIRAD_POLY_111;;98;98;98
2016_FR_IGN-RPG_POLY_110;;100;94;0
2016_MG_JECAM_CIRAD_POLY_111;;98;98;98
2016_ML_LC-CT-2020_POLY_110;;98;91;0
2016_SS_ARABLE-LAND-2020_POLY_110;;98;80.5;0
2016_SS_OTHER-LAND-USE-2020_POINT_100;;98;80.5;0
2016_SS_OTHER-LAND-USE-2020_POLY_100;;98;80.5;0
2016_TZ_AFSIS_POINT_110;;98;98;0
2016_ZA_ARABLE-LAND-2020_POLY_111;;98;91;91
2016_ZA_OTHER-LAND-USE-2020_POINT_100;;98;91;0
2016_ZA_OTHER-LAND-USE-2020_POLY_100;;98;91;0
2017_BR_JECAM_CIRAD_POLY_111;;98;98;98
2017_KE_LACOWIKI-GLOBECOVER30_POINT_100;;70;0;0
2017_KE_LACOWIKI-GLOBECOVER30_POLY_100;;70;0;0
2017_MG_JECAM_CIRAD_POLY_111;;98;98;98
2017_TZ_AFSIS_POINT_110;;98;98;0
2017_ZA_JECAM_CIRAD_POLY_111;;98;98;98
2018_KE_LACOWIKI-ESACCI20_POLY_100;;70;0;0
2020_BR_LEM-AUG_POLY_110;;98;98;0
2020_BR_LEM-FEB_POLY_110;;98;91;0
2016_CAN_AAFC-ACIGTD_POINT_110;;98;98;0
2016_AF_OAF_POINT_110;;89.2;85.7;0
2017_SSD_WFP_POLY_111;;98;94.5;94.5
2017_UGA_WFP_POLY_111;;98;94.5;94.5
2019_AF_DE-WA-TRAIN1_POLY_100;2019_AF_DE-WA-TRAIN1_POLY_100;100;0;0
2019_AF_DE-WA-VAL1_POINT_100;2019_AF_DE-WA-VAL1_POINT_100;100;0;0
2021-AF_DE-WA-TRAIN1_POLY_100;2021-AF_DE-WA-TRAIN1_POLY_100;100;0;0
2021-AF_DE-WA-VAL1_POINT_100;2021-AF_DE-WA-VAL1_POINT_100;100;0;0